alias,channels_closed
02c2f6c55c91706f0d2e,136
02d53412e2a97f1d82fb,5
0356518680de810fa539,0
LOUDGENESIS,0
UNITEDRAGE,3
036b46d1946aa1d643d6,13
riseBlitz,1769
02f64c781b20fb5ed32b,7
nodl-s003,1433
Alan,1791
kankichi2,64
RIP_FIAT,360
nansa,2227
DyberryCreekFarm,32
ANGRYFEED,1320
hodlers.team,86
036b4bc358bf6cb945a1,0
hizzie442,727
FI-Hawkeye,26
LPZ-City,4655
Decentraland-lnd,966
hannover1991,412
Flyverofthenorth,141
devzorLN,2287
lichen,1852
039f19262ef4878b9bef,864
03cea9082ce9916fefe9,3
Cryptometre - LN,4193
rhetorick,3
0341eabd15df8310f819,7
02b74b259fbfb180e5fa,80
02bc3464a209a03cdf73,8
03e83974bad8f2092943,4964
ugligatschu,647
03f4b69da5874c81549e,3
Flashman,12
nodl-s009,365
JukeBox,114
0313c4e7c2d91df02554,92
TheNeverHood,1028
TacoBazooka,12502
Ai Lele's Heart-Shaped Box,6
037463d732e03dd262b6,38
VenusMoofUK,3
lightning-no.de #zeroBaseFee,4237
DeadTomsTrezor,189
Towiz⚡,10480
0354e1ebd3a1a1c54bb2,2917
anonymous123,636
027b4faa23aa5ace29c8,81
YET_ANOTHER_HILL_TO_DIE_ON,308
nodl-s010,690
02fae89cbe71577b9cc9,1646
Elf-Node,13
btclnfnode,35
Lamplighters,1211
Vankoewst,5143
0270a663473fe7773041,45
taktioLN,66
AELSTORM64,130
BLU,58
hawalad.ar/oq6yi,6496
037ae3fb76a9c192a332,555
Bitcoin Martian,1544
02f6b4fe1c39ca488c6e,5
02982a2e506a2737e7d6,31
Uruha_LND,373
TheCoinMustFlow,2397
TheOutback,5
03b61448274baa83b0b8,400
02eebcf37973ed71050e,603
02cca8f8fd2709c7a826,0
Lightpi,564
robinho,546
Boltimore,1930
BonsaiSoftware,3659
020e96ea8cc19b7ed74c,8
Bitcoin Rising,37
MAVERIK,40
TDough6666,3
btc_lun_pev,5
03f2fec2692d45869446,11
LNJv2,543
SkiDaClouds,1630
anycolo.net,10
KxN,2154
ln,14
02d459fc75c635ee2852,701
ZapTheBanks,2412
035b19eb912100253e4f,682
zbiornik.com,1166
ODRIKEZ SteadySatFlow,397
Ginko,5678
0288c9c13ed8cade6d9b,0
02c0979a5d29b4465d87,675
ELSIGN,18
Eternal.Sovereign,6000
RaspiBolt,91
03559b7e11b331d17ccf,3332
02c3edfb29c60d74cb75,8
mamonettitwepepo,18
0265c45476ef53365755,96
LOUDSEAGULL,155
KKN,154
desentrelizd,5
LightningStrike⚡,8075
02586c5b0711ac25ea99,427
IRONCITYNode,922
opsecslittlebrother,25
0399ac66eb844a63b4dd,6
0391563643a3e5121e14,2216
Lokul,1525
Start9 HQ,7714
GWTTR,937
BKK-1,9
undergroundrailnode,1897
REAUMB,185
QuieroSats,304
digital-pacific.btc,843
03c4696444a00280ca00,3
Spencer05,1318
SkyNetTeam_111317,3235
035369d3d1969ce2b9e0,8
labitconf,15
shockwerks01,2838
PirateHash,1147
03d47236856a883da0c4,4
02f6c5a24fc2a48765f6,3
02b0e16dad541111db29,137
Cryptojacknews.com,15
034039d7113d4e4b4f13,0
TARDIS [LND],0
CRYPTOPUNK_YAYA,4360
03a1fcff9d643684c992,15
Cointology,1146
Galoy Hackathon,3
028fcf33530b7d0a5fb8,1371
0316adc64c1d0c268a70,4
ConTaBlitz,17
033ec1ee1456976b1514,18
WOOF_PLANET3,1133
HOP,3764
guggero,3062
ZeroFee,777
03527fd98d029994a0df,4
RSISbyhans,1057
BlitzNode,1519
framboise,2182
02739b6f21016c1218cf,5
OSHI,3274
028dfc9f6aa2bf3783d7,917
Floksha,884
webworthy,28
BlueNode,203
0273a1b98aca060c1d74,28
03fac7292c7925edcd22,2270
02decdd9c67c1fc00e13,4
SELBANKT,3262
C_rose,4559
039daf6a6698cc60572d,8
023982aba7e72383133e,16
0392ebb9d47fd9040dab,1192
03c6f7f4c047163af3bc,295
0340fff912783cb5c154,3
CanadianBitcoiners,828
LNBIG.com [lnd-28],21114
0319117eb1ed3b90b7be,557
bitcoin.nl,754
zero fee routing | CLN,30259
CryptoEQ.io,1878
StrangerInTheKu,721
zapper,0
03f1f9d524dadbc90e68,4
Cardamom,603
038006f90c58842c950f,0
0273ddb1d0abb538ad40,97
Up Only,1648
af757eca8e-sphinx,0
03fc53c08beb73122998,78
psklqc,2757
Lionsking_11,2129
038bd717668bc90b00d8,0
PursuingNothing,471
Bank Of Orion,31
OtterLover,4187
030fbbf4eb13c18f956e,3763
Tesseract,5
02c93ca95389d330e780,5
Ski,377
03e19bc568a7cb3d4478,157
03a382614d555b582cd6,0
PixelNode,1446
nodl-lnd-s010-045,33
allioli 🧄 ⚡️,747
038a3e6654cc45bc23dc,35
RENEGADE_ANGEL,19
034ef0cf182e765d0d73,2110
02b61bcfa89ee3794a3b,586
GoseiKnight,13
03abfd7622e992840e95,0
lnurl-pay chat 📝,101
CryptoShade,1024
Blade,1128
Mr.Nodey,114
Bakkeveen,202
Evilflow666,70
02e299e5c9a1246bb4a9,227
032f0301d9ac2d5410af,20
TheHansPowerNode,1626
0390ebd99b03654f4bde,5
0331fc58a2c74170bb30,1322
Laughing KURU,1766
LNBIG.com [lnd-10],19059
onion.tartaros.ln,6813
Dusky,899
NewWYE,4678
webinkin,0
0279130d1b0ef9c47029,3
Vake,393
028112a9b430df7b9ff6,8
0396153a6540cfceae37,6
MyVoltageRoutingNode,22
SpicyAvocado,19
Boldeen,6
Krubster⚡️WO,4627
CassaComune,4531
Thubex,7182
03f30922d228ae730080,4
03928eeb8be17d74a60e,857
02823e123a2a2b88fb43,34
031b6b704464781455bc,126
02864ca8530d2d1c087d,17
036b40fa218579ae5b7a,1842
Ants_Marching,646
03934b08391203e69f0f,5
03362a667af0c8e21654,89
xuano,1283
TheRoyalRoad,635
blocs.fr,18
scybolt,757
EcoNode,1834
hodlister_co,18109
btcnode.com.br,938
MZD1949,630
Perry,1331
SlyRoundaboutWay,484
ion-gate,8
wolkanus,731
VIA DOMITIA nodl,52
ThatsPrettyNeat,6242
BankShot,122
Tunard,319
LNBackboneCA,162
025c0a0f6700685017dd,10
CoreOne,609
LND-LuckYNoja,22
03b5fc3c310c8e5e2a03,176
02913d01ccc720569530,1145
02bf38d5b5c4dad09cb8,64
02ffb6c91ffcabafc2a8,633
03bdde4182ff4c1275ba,311
DakotaKid,9
Blocktank,1026
03688d87335d1a9ea475,1737
0254f10d938749c16de8,0
Pouch.ph,3019
Montemo,19
⚡ CoinCrypto21,231
03e141edf04c1b706c09,0
spirit,632
Compo's LND,203
Jenny,1160
scrumptious,9
Limbo,847
ZRHLN01,28
03a0f15b9b44e1ce4b192a9287aa24f8,147
opreturn,8
AustralianHub,638
hot ⚡ trail,1129
carlslight,5956
medium_of_exchange,17513
GLORIOUSTEMPLE [LND],6
0395924ffb4a05271bf1,3
⚡️formfrei⚡️,123
02d9bab9edd230e5447e,909
0208253298ed55d449e4,534
031ff1fa0ce00bece087,83
l33t.com,401
VIDA.live,809
03634dacdcd96100c793,173
GelatoBlock,1009
LightningNetwork,1212
LookBusy5,3451
ATK~ATL1,4761
03699b230588b5f6f16d,10
utxo.cz,280
036ecf913d40c2048f03,6
REDMONTANA,0
031d01fff3bbbfe256b2,17
ixef,438
bobderbobs,2167
030e57b3b4f1ad32210e,681
Alekto88,625
Bitgild.com,107
HerrTuckski,7
0265925ead3dde3e0bc0,17
02b1cf1f6e245b7a7bcc,10
BeingDisplay,10
0350656c766c5d64377f,6
Citadel Onion Routing  [CORN],4754
IoM Chenney Taarnee,1336
Kokiri,543
LightningStrikes,6
LNBIG.com [billing],4883
LIGHTNITE,1922
21 nodl [LND] LNFAN,4042
024b343ea9282d63aa93,92
0309e0e1610c6047e507,27
paralelnapolis.sk,4041
Satok Node,429
03cf3f2a57ee1130e94a,15
fumoney,4
02d62a981749a9d5d545,94
1Q84Ankara,24
FelixBTC,712
02ef2be0a78d6760f366,16
Frode-lightning,3770
lakeside,37
bumblebee-hive,764
fambam.org,19
RedNode,48
0211b63861b996c4ff4b,778
x1lnd,178
03e44ac0b01dd7321ee8,100
023605952b0ef1e61834,3
0235a359961100e5ee8e,162
03f19b725166b576ec66,14
03d6a7f920209299a280,428
037a800c7f36733b0cdb,5
TryAgain,233
zimpy,35
02801407e77e41846295,289
VallesMarineris,934
Sats4All,11566
selfkant_blitz,9519
satsHIVE.com,3218
ESSEX,1256
0331d01a1311f87190cb,884
ThaisysLightningNode,5
026f09ed7afdf5cda752,220
Ninefingers,4
03470b07aa5d54982c2f,3
AgX,5507
unlockingscript,8
bitsats,3
Love-lightning,0
mynodebtc.com[btcrx],0
FFA500Pill,18
cologneffm,0
SovereignIndividual,361
0204c7c3957c36fbecdc,42
FoxValleyLN,14
03be29bf57c875bd851a,827
EscapeToElSalvador,1100
odinode,605
026dcb2fddc6a469cd88,40
e3245780a9-sphinx,0
02157b2e0f7b26945a13,93
BLUECHIPMUNK,0
029e423453ba2acea80a,1848
D3DDruckPay,40
Starr.App,1691
southxchange.com,31963
kerz,29
OrangeSuppository,871
Lightning Lift Me Up,392
Rochester,605
BrothersGrin001,35
ListedReserve,558
perka.home.2,5
LightKing,1297
03e73ced617356d9b4d1,0
HODLonTight,37
02d5b831d18995ab85f4,6
mynodebtc.com [turbonet],425
03596bf25c096dbbfe4a,3
Murmur,3095
024827aa21cf4befa75b,3
Crochet,19
gblitz-PLEBNET.ORG,379
BaudEagle,426
02659e4bf2e1dc0ada40,0
03795713f1ec4261acb7,826
Fustler,1781
PChan,2302
Happywheel,743
typerbole,3400
0280bc79f3dd6e46cae8,17
038ffb70091e6a1e268c,8
Chardinhithewizard,2076
02bfd9798bb71188f7d8,599
0248ea1b52e83ec46566,193
03be5ca17ed1ca519539,339
Imirk🧀,2823
centuple,2213
02ccff7a85e5a1662423,271
03c489786f28e22cd1ca,18
024596dadd4538131fb1,0
038d9751f3c33d96da94,25
Animal Farm,900
03f1824df1ca6d7255c9,3351
0311f7a816d000741e3e,758
GR765 [LND],402
021782ec23d62e5c1594,8
SeptemBolt,3
032231b46fd0e4acdbd2,3
03ca6c08d0a2399dc24f,7
LQwD-Indonesia,5057
bitbox,19
greased_lightning,10
036fa3700c3ed35ce474,66
Satoshis.Games,6816
021b08d76fe01fe23e23,538
CyberSats,3908
032f6467e70b47008e1b,5
jayber,4055
atlas,2451
027801430ad648355b61,28
El Banquero,344
kalisto,276
driftprince,0
BitBitBitZone`,22
NarcolepticMoose,3
MancCoin,171
BTCDOG2,47
0206e921db054f382481,8
02d7120e248bb90972e9,128
LNDEurope2,915
FilliNode,27
Blitzerz,227
02bde8fb35211c380291,6
loveandlight4dP,0
0217648c4597172466a2,0
OuterNode,4
033102297220338d7270,78
FCKMONSYS,62
SalvadorianHodler,4280
02699bcff711f8325dd7,0
ln01.maeh.org,3231
03744507df751e4501cb,27
lndwr3.zaphq.io,981
027e62436314f4a18b5c,1160
bear,98
03442a75c255f3ce4e8d,13
nakamoto.id,2889
0287232e843f7606188f,3
PixelPushed,690
bd@sw,3
02bab9d012250a803c77,495
KaoCH,22
0222b780970b911a67fa,183
eucentralnode,4025
02ccc5a90ab3f5bdadf7,3
BTCPayBRH,3
02e7a87e3bb8a0f23d4b,21
023e5ce97cbfde9b993d,15
03248875480122aa4a0a,1005
US_Citadel_Node21,3
box,5
BitcoinRandy,5679
btcWorm,2448
LINDY_EFFECT,7
034b693cdb22d9f842e5,960
bartoweb,3302
M4j0rByte Start9,388
030973001261562cf95f,16
02d6a4c09fdf624fa47e,2021
ricardo_hodls,1293
⚡ Routing Node 2 ⚡,0
PUNCHBOWL [LND],2733
Catcher_in_the_rye,1538
🐧Twocrowsfly🐧,3345
pwmblitz,5
LNGlobal.net,2993
02c9404d38c8de254875,15
MnM-Home,623
PlanetExpress,100
RasPiBlitz01,64
dynamo,1206
TutDatNode,3
ORANGEFELONY,1301
LND_0xff,2548
cryptonoia,83
MilkyCilia,4
MyNode RPi fivefingers,2514
e3894b52085d,0
volcano,2190
WestmalleTripel,351
03a9f892e712345d0365,338
02ba7a244f187860c21c,15
alephi,344
03bcf1f73199ed4445a8,2304
033734899b470511a565,31
w3rN42-LND,147
[myDomaciNode],9
NorthernLight,3
Band4Hope,187
inbound-liquidity.net,5674
Mister Bean,8
03314522202a312fde22,490
meins,10
Stormalong,1139
AsianHodl,1357
aragorn,3249
DarrWalk[LND],10
Zakk🦩,372
elhefe,280
031a5bfd671d9c124849,1678
MelonLND,850
OpenLight,1685
szeco.node.lnd,36
0218f75f2e3a0a4348e3,622
codeEngine,3
CubanLebowski,2238
raspiblitz,70
03122cf349dc069c0d16,5
03a4e718d1091f55f842,50
bithelm,0
Premium,69
03e8b449599a67e3032e,622
02835e0b9145bdddec9e,32
0219d387a0819a12b9e8,9
02b887bbbd122454ee17,1357
blitzbop,9
036b1cc99b4215681761,0
02953d7bd849ff299ba8,452
1ML.com node ALPHA,46386
i4mcCdMp,9
vuli_bc,259
LOL,1115
03b21be5c6bdf6595dc3,1406
02dda2227040097591b6,3
021eb7edeb69263b874b,13
Reodor,5
03b663cba55e4fbbdb3c,31
Narrow Way Ranche,3
039d8d9ad8ddd0999b02,3
026ff53caf438d4fce21,98
PIRULETO,0
GoldenRoute,389
LichtFlits,246
SOMBERRAGE,1902
friendlyneighbourhoodnode,3
BirdBlitz,145
StarBugs,95
cRaNkEd,5
donmc_ln,513
Raspinode,137
bitrefill,470
0281541fb8be936a3378,466
028671fd035eb658869a,27
0314dfdd21d01bafba41,248
Coinstreet_Barcelona,44
02bf6be01a9b836b95f5,9
digitale_initiativen.at,338
zygo,0
03d0993f1d1aed45337a,317
chupi,3345
03cb5b0ece6bcc682e45,20
BrousBlitz,2782
DETTE,0
mynodebtc.com [bankrunner],5403
lightning-4-free,617
Inchhigh Amusements,517
bitnode-20,3764
Kuragh,432
RebtoriaNode,923
raspibolt,134
02053cbc5282b29af308,1091
Cantillon,2014
LizardMan,0
031403252b802b88e175,724
Johan,542
Hello LN World,858
nodl [oneof42],46
JustAnotherLightningNode,89
bankofzettel,2392
Al Terego,3
03be20de6467778d636d,0
GreenPepe,1705
RAPIDBTC,10496
nodl [LND] cardinal,146
RaspiBlitzHohenlohe,339
LNDB4TIME,12460
meiji,974
MaxPower,101
GigaMegs,15
WhySoSerious,2493
murelli146.btc,3
Hazed Hornet,1363
InfiniteBlitz,24
b590e7500466,0
031cc263798261e5f433,3
wholecelium,3
0386d9662040e9af6294,425
mpi,31
0336a7af1973050ec467,6
zombieelvis,275
0256ab9b7d257b30dc73,15
Catman,46
Slumach,47
UltraRunner,9529
03e1bc634410642ff89f,5
033c65b1878c8726dc58,0
mamedaifuku,24
022584ce933b36bb33da,6
parallaxpie100,23
warlvr,13
0223d8c03e48096801f1,0
023de8e20b007fc0bdac,9
0205175f042b46aa68ba,17
GoldmanSats,4418
Peloozoid,344
IBN1,317
HeinzNo1,7
0347693321653ae3fc0f,5
020d32256c7d4c1448ca,74
0272e6f8da4a999b96ad,455
GINGERBREADMAN,644
Solstein[NodeNor],3969
salmiak,2901
tthm4,136
pivo-klub.cz,3
Wavlake,1106
0258865560a1729096f0,37
lsdln,3
0340fc8b550ab55c7967,706
satsto.xyz,3
LUCY911,1690
032c56e2221911d1b7e4,27
024297ae066f1627b146,27
02191bb668f0807c3ad2,5
JB,114
Satsuma,991
0241dc8c83c0b51f67d1,3
metastackdata.com,3580
tomsawyer,7
KOPPESTOK,30
EindhoveNODE,760
GmoneyLightning,15
VoxPopoli,640
Sanctum Sanctorum,1408
primero,42
-------------,1778
slicksparks.ky,6660
02a949efe76b0ad50812,9
NeBuckazoid,32
BISHOP,0
TheBitcoinGame,3
ring.routing.node,694
aybabtu,17735
PiNode,770
4221,737
03738ce66e4b07461a6b,2459
Er1k in Zürich,8
SnooZe,19
yap,643
021222cded72d2a1f090,419
bfected,612
TheBitcoin101,0
HAPPYRAGE,2376
Saintnode,12
bitcoin_poet [LND],10
Baby Noda,4172
bereskaLND ☇,0
02de43c82ee4af4e7604,56
Friscola,1726
gasparri.hodl,3987
Levi Ackerman ⚔️,1894
Rag3_Against_Fiat,3
MadMonkGee,13
BF-LIGHT1,1246
jpblitzy,511
022178ce171efa56b78b,6
oumuamua,1541
Kong,28
03c281e9c640d8ccdeeb,16
03a4b1054110a01df557,7
blitzenlights,41
Toschi,33
No Bullshit Bitcoin,1283
HighHORSE,1614
03ecfdfb587e3c26317f,215
brettpi,0
cryptonomicon,98
IBN2,317
0230e5f0ed5376696f36,84
-=Lord Fusitu'a MyNode=-,3859
038a82c22493e748e4eb,0
03b45356ceae524faca7,106
streamturbine,2605
03e15b57b84979a9771d,235
SOMBERCALENDAR,224
03a6f181ad09e7cfc241,3
fireflyfiesta,9997
shrunkamygdala,3
03d8a776dbb14f9a0017,797
st4rnold,1804
GIGA DORIRU BUREIKA,7159
03f43aba11b69bd76e30,660
willystacksats,27
02ab6a497325209e4891,203
hodladi-node,2789
034eb55204b8b92756f1,118
aurumbtc,1154
0290e5a2bdff2ebb4d8d,174
dragonsland,81
02a80ed6a5250706bee4,416
03a64f7487d89355d9d2,9
03d0406c1602789bb1e0,10
bitcoinaudio,46
02047572e4cc98c42574,11
JF 2.0 [myNode],1193
Elliott,25
IonicKoi,141
028f8b002652a9627cfa,8
21BTC,855
03303973581eeb3f3265,974
02a6070bb0c56d97e428,9
rheinmainnode,44
Phaedrus.888,3
Lightning Rod,2599
Node Up or Shut Up,2818
03e83d9e92c08219aab3,2866
BigMicrobeLN,382
bplnnnsh🐻🌿,248
KECSystems.com,86
035bcfdab4c9530b2af5,37
Sendnodes40,3
03c3caf68c4ffb84b61c,41
Lightning_vdH,446
03859e99364608383414,17
03eb7913e55827af2dad,272
🌻TryphonTournesol🌻,10652
FriedelRichter,1560
Supernode,880
037c5780d8d91dd65727,5
squirrels just wanna have fun,1832
LNBIG.com [lnd-27],18749
Godas14,568
molle,553
02768cf079dbbeafc174,3
Protocol7,62
gocoinsafe.com,4
0304a66416b6b8d423b1,5
HDsLightningEmporium,139
prabox,1631
lyberry.com,7
Snormax,123
DE-SCN-BTC-NODE-01,0
Tambalori,130
028e9abaa1fbb09ff3c6,8
start9-0xd178e8fc20d235f9,33
03cf768ab74d6ef67c3f,3
mynode.bikesuper.xyz,1538
LightningBet,8
Zekle,4
TANGONINER,194
FirstBlockCapital2,560
TG34LN,9671
020c9b1df80eb7c4f8e5,1366
Onward.HODL,1536
BachenBennoBTC,419
RBlitzJK,5
TheMagicTheatre,679
enlightning.net,770
btc,403
LNDJCK2,3
0391f539c79961c79a91,0
02af933d20b2cbef66d1e,376
SLightning,15
wild NODL appeared [LND],1412
nofrixion_dublin,7366
Bitcoin Point,457
DeadBowLN,16
fulgurite,878
SatoshiStore.io,14
manunode,13
mynodebtc.com gladi8r,570
blitzgnome,2213
AQUARIOUS,9762
pimane,353
therearemanylikeit,188
0360cc97ba752099eb10,3
Jupiter Lightning,5590
Route 1,878
Libertariman,4
mynode.bitcoin,301
hamstersock,6
TyrantBerry69,45
satblitz,194
CookieMonster,11
ln1.bitcoin1212.me,2267
Qartexxx,664
03c49d5381ec41f48e66,5
THEwhiteRABB!T,2407
Speedmaster,739
CactusArms,1807
03a0437ff516f1f6dfb1,1109
0222ad16e6fd93cb57f3,0
022813c7dcb46ca4ea23,58
034addcf23d317ffc2fb,15
03d9137937ccc2d278ad,1111
node01.satoshi.org,8
bitmax,7883
Bognor Regis - bognor.io,32
02cbaf25e5d3c33057eb,10
TheLightningInitiative,3296
crom,524
02798c53da0fefca9bb8,9
02d2952647787d2f8170,371
BitcoinForHumans nodl [LND],235
benfin,500
BTChick,549
nmfretz,17
0334337758ed6e5716ca,113
03fc6dcf34947ad5664f,16
033fbfb426e5f84f6864,6
037d284d2d7e6cec7623,914
SLICKERWALK,2779
039509a85c81576b36cf,3
021b8f508a4c2d452b28,18
Blockchain-location.de,5
0240d18ee9c211b44e05,4
Agalbitcoin,1542
0363ba8636fb2eed5d01,3
lutzzzzz,0
amperture,740
honeyflowafrica,0
t4wnode,738
ADAANK,11
tt_teketeke,1809
VroomVroom[NodeNor],4788
MemeracingLN,4118
0216dd9871430488f32a,6
lndeu1.zaphq.io,263
02721ee102a49378bd5d,356
03d706b2586962d41dfe,3
Felix,15
node03.arb.za.net,45
wildsmith,3
Transilvania,685
HanBTCnode,14
031a81901cfc9634749f,8
021b5694c643e131b301,0
Bitcoin Suisse ⚡ (1),4353
One4All,36
WalletOfSatoshi.com,49455
Solid Orange,10370
nodl-s100,1947
02dd6bc033bf4ea58a4c,4712
027f0bc60d6c94476257,5
Mothra 🦋,2199
02c7314340e8b3603297,31
SOMBERMONKEY,5
Enjin,634
03333700ea7dd48f2bdf,8310
0209569c3d7e49b497a6,0
021922654ce16cd48f3b,423
TKB,246
02881f040068b778bc15,115
lightning.globi.li,28
NikolaSatoshi,513
02ff726537f057f14bf2,2367
a1ffdc301a-sphinx,0
boopsnoot,16
034f3b4072620e7695fd,2787
wflnode,13
Sparrow,6
omarubay,210
0317c06c527f7160e343,3
cumulonimbus.co,792
02ce5ce9b17ad65c9699,6
Futzi,192
02a85ef5e3fd5dd18ddf,0
02c746cf01c7f8687f54,220
kcoinLND,6786
Revelation,2153
LightningThunderstorm,2709
aao,365
Hope House🇸🇻,19
zlnd1,8040
OpenWaterSwim,811
039bbed4e84f9060ebd7,56
0339b53583d2775508da,16
OldCrow87,3
Gollum.BTC,5699
02dc3f5b1ce73396ea26,10
03c1dd19f1554c1b066b,10
bakamoto,182
024e316593e93291df28,428
Fabric,940
LNCast Mainnet ☇,1228
03bad067ce8fcab843cf,580
burke/connections,1785
Corny Badger,11
BTClifeNode,5
038aaadd1d3c4349a093,45
thewhitehouse,899
Slothmachine,4174
MaligatorLN,3
Kraken 🐙⚡,26741
LiNo,1177
AONoodles,5685
lnd1.geyser.fund,445
Luna,18128
TheCrypto.City,602
03e56901f2a89cdbbefd,0
MJKC31,1414
03734f0be074001044b1,3
022c911d57a5580e8fb9,0
BrewingLightning,1953
butterfly21,638
TakeBit,2081
ROCALIGHTNING,285
0214073a35d4a87440e9,68
Lumus.BTC,52
bcats,725
032c64551031ef36ee14,0
Sendero,433
03aa13838bb48e7b54d8,85
SOMEDEEF,1864
Yeronino_C,2658
02876b703947330923f0,69
MEALLAN_PLEBNET,3112
Hanjuku_node,407
nodl-lnd-s002-027,0
Keyla,334
citadeldispatch.com,16563
ZeroCharisma,6
02e1bffdbdb162b54144,7
Unshiu,1744
033344bfd93f02a6f8c6,30
naradar,1009
bitcoin_is_money,4268
2.ln.aantonop.com,3738
EikLight,74
02715b9fb46791f81b05,49
BRUCEWAINE,1610
Pinus Contorta,31
033280157a5028f0cfb6,3
0290622ee2296cfa273e,386
TheBolt,7715
tshodl,690
CryptoBank,93
034d34153d11f6e13189,8
MalleInvestmentfonds,2718
039c462d0fd90125fa0f,1936
ADH LND NL,38
wbobeirne,3123
CoinDonkey,3
02b307fdad2e68d08ba5,61
GoreboxBank,14
Kairos,3716
DragonPineapple,193
Nodebrook,2674
f.zbiornik.com,0
0391f17bf3784c0a9a99,48
CPCRYPTO,18
HoneyBadger,1047
bitblitz,3
Nodery Public,4287
Tucson Bitcoin,343
BYTESOIL,114
023d4f2e58651fca0b66,46
MyRaspiBlitz,4
Hoffi09,9
mybank,95
lndus1.zaphq.io,2665
mellowjelloLND,25
02b37013202570d6c89b,17
CoinMelon Node01,332
0218ddd635ccecbe1b2d,16
0340b4b4c2c6c33c6cc7,6
0390101c18b1ac9ce95b,6
CantillonEffect,975
HelloWorld,1857
Brethberie,1308
HwindLN,682
03cc18601fa17983fb1f,89
NoAgendaShow,153
FlashAckee,1262
chleba,214
nodl-lnd-s009-034,4
inn8,269
034397da6795b34594d0,25
ElDorado18769,1361
latribudusud,495
SKYWAY,661
k0ticl1ghtn1ng,2001
BtcPins.com,2978
Gondor,1833
chilipadi,366
0246c3a847124db01eb8,211
03ad1b3bbc8322138840,1587
LNDSwift,2706
020806c060336147486d,3
lnorb.com,6090
02802eb75dbebdadcffb,16
024f47e059800439b3dc,3779
CoineselchenLightning,545
SilverMan Sats,3
ZeroFeeFebruary,1609
0344ae9dbca74941379d,0
[Taiwan] ShinOtsuka,2280
GIABO,944
PINGBTCNODE,6
BankOfBog,115
sowilo,423
21MioHP,26
node010,504
manyak,2221
nodl-lnd-s008-003,725
Folkaio☇,1432
lebowski,16
Nightrider,3
lovac,1004
BobCo,1235
Crypto-RiS,5588
Space Station,31
frostbolt,3
FreeAssange,32
Freedome,0
LiteBerry,1631
KameSennin [LND],9
LOMBRISHI,3
blitzkist,5
Blitz_CryptoDuke,5149
DeutscheBlitzBank,359
TS,3484
cryptosticker.shop,445
tako-raspiblitz,9
Alpha1,5
Lichenberg,57
037e075484c62a58bdc7,1164
020506c8be552cfe0f3d,1068
033894038df5865e0945,8
Rogers_LNode_01,280
VOC,933
SailingOffshore,957
WhiskeyEcho,29
Karelian,3
powerofpodcasting,632
sir_jasper2011,3
Manchester,0
02e245e1c4d36eee789d,12
djmeistro,6764
electrolyte satellite,9995
0391078f609ede54ba83,486
Hinske,0
Nodian,0
03452532f6d3aebfc143,223
VIOLENTMONKEY,3
0x50_LOVES_BTC,965
VIOLENTFELONY,684
lightning67e,177
02da76c3534b5da314b5,5
0228e9e284422b1d9eb3,10
SatoshiRouter.com,3
WardenclyffeTower,0
02e7c1c37192292d758b,746
ln.whittington.capital,3827
Easycoat,602
02d90307f9d75f624c34,3
FiatDeathStar,1051
LNbitwill,193
PiBlitz,644
03935494ee2549651b46,6
Nanaki,9
BankOfFreedom,4477
0201ee8e167a03b24041,0
03e713777ba6478811a8,55
035eb68465a822205b8c,3
038032301cdc87a98fd3,1292
Bitli,17
magicbtc,32
02a572a5dfbe2781e374,0
LukeLightningWalker,1162
MerryGold,168
SNOWCRASH,207
SoyoOnLN,10
PEHIR,4938
BHodlLn,981
032d4257f1cd676b5fe8,171
Mommalacita,1835
0211cbea2df5af449b94,710
02bf48d49db2dba1643d,3
Vein of Satoshi,47
02ef2f50f27e11f8f65e,92
CakeX-1,25
firblitz,656
born_to_be_free,2022
@AshToHashes,473
BitSpender_jr,12
rapaygo.com,275
OnTheMove,110
BRIGHTNING,28
Flow,5443
039c1cd58831668e7fd2,764
Evo [RW],5
platysatz,1444
0390d9cae968480d4604,17
CoinSloth.com,1985
02fba28b93ac6658e9f3,276
02ab25343b3bc053e036,15
02bbc7309fc9b738182f,1161
02ae088746d8d003f99e,370
039c1a98666ad4cf4ee5,10
hyperion,1019
0213355124da5fb0055c,1057
03c37f7c91062904d071,25
LightHouse_Singapore,634
Madhyamaka,1049
satoshinode,746
02970be4401b4299c311,30
Brian,94
BosstalgiaLND,582
CouchCoins.io,115
ln.nicehash.com [Nicehash],34358
LQwD-Singapore,2478
036b96ca78084c68c7e4,68
03db282533cf598edafc,3
brickstack.xyz,300
node-ber-zeh,6
RecklessApotheosis,8266
bitsader,470
Day of the Spatula Unleashed,0
HardMoney21,453
Yggdrasil,925
It's a frame,8
Sterls,594
lightinglnd,433
rs.lightning.com,2368
nodl [BVC],10820
Seleucus,13
02ef466494733edbf57e,1196
Latveria,589
KrishnaBTCExpress,433
NOODLE9,7
RobertodelaCruz,996
Babylon-4,8
BETA2_LN_Oracle_Network,0
03053a84e7de41cdea52,25
nodl-40abebd33c96ace93a637643,148
03bc0225059d815ced56,3
02de8022200fb3c1b6cd,112
smackallister,20
CASystem,98
Hyperdezentralisierer,440
LNBIG.com [lnd-02],19053
ReitisBlitz4,15
BanAnaB,1157
03fee9436ce02d29436f,318
0213113055a492c72fc1,0
BTC-LND,817
NibbikPay,7
